Start_Date,Location,Pollutant,AQI_Value,AQI_Category,Year
2012-06-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),11.02,Good,2012
2013-06-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),10.93,Good,2013
2015-12-31 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),8.21,Good,2015
2018-01-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),7.7,Good,2018
2022-01-01 00:00:00+00:00,Borough Park,Fine particles (PM 2.5),5.665083598,Good,2022
2017-12-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),7.71,Good,2017
2022-01-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),6.190293563,Good,2022
2008-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),14.74,Good,2008
2013-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),13.08,Good,2013
2017-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),8.65,Good,2017
2013-12-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),10.93,Good,2013
2019-01-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),6.24,Good,2019
2022-01-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),5.627665469,Good,2022
2008-12-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),12.69,Good,2008
2022-12-01 00:00:00+00:00,Borough Park,Fine particles (PM 2.5),6.105061444,Good,2022
2023-01-01 00:00:00+00:00,Borough Park,Fine particles (PM 2.5),6.58301364,Good,2023
2015-06-01 00:00:00+00:00,Canarsie - Flatlands,Fine particles (PM 2.5),8.97,Good,2015
2010-06-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),12.64,Good,2010
2011-06-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),12.15,Good,2011
2015-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),8.76,Good,2015
2016-06-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),8.89,Good,2016
2022-06-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),6.146248912,Good,2022
2023-01-01 00:00:00+00:00,South Bronx,Nitrogen dioxide (NO2),17.32567467,Good,2023
2022-12-01 00:00:00+00:00,South Bronx,Nitrogen dioxide (NO2),21.77739196,Good,2022
2015-12-31 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),6.94,Good,2015
2013-06-01 00:00:00+00:00,Southeast Queens,Fine particles (PM 2.5),9.75,Good,2013
2008-12-01 00:00:00+00:00,Sunset Park,Fine particles (PM 2.5),13.49,Good,2008
2017-12-01 00:00:00+00:00,Sunset Park,Fine particles (PM 2.5),9.25,Good,2017
2019-01-01 00:00:00+00:00,Sunset Park,Fine particles (PM 2.5),7.32,Good,2019
2017-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),7.58,Good,2017
